model,task,length,wall_time_batch,batch_size,wall_time_task
OmegaFold,Structure Prediction,131.0,38658.11083340645,1123.0,34.42396334230316
OmegaFold,Structure Prediction,132.0,43759.937801361084,1180.0,37.084693052000915
OmegaFold,Structure Prediction,133.0,33420.943444013596,915.0,36.52562125028808
OmegaFold,Structure Prediction,134.0,39102.517822265625,1114.0,35.10100343111816
OmegaFold,Structure Prediction,135.0,38902.85064005852,1175.0,33.10880905536895
OmegaFold,Structure Prediction,136.0,33854.04842710495,1033.0,32.77255414046946
OmegaFold,Structure Prediction,137.0,38734.455864191055,1152.0,33.623659604332516
OmegaFold,Structure Prediction,138.0,35313.61263680458,1025.0,34.452305011516664
OmegaFold,Structure Prediction,139.0,34329.50627875328,915.0,37.51858609699812
OmegaFold,Structure Prediction,140.0,42257.734399318695,1144.0,36.93857902038347
OmegaFold,Structure Prediction,141.0,23412.821561813354,1072.0,21.840318621094546
OmegaFold,Structure Prediction,142.0,39082.26420664787,1119.0,34.92606274052535
OmegaFold,Structure Prediction,143.0,31165.365091323853,878.0,35.495860012897325
OmegaFold,Structure Prediction,144.0,33623.824208021164,968.0,34.735355586798725
OmegaFold,Structure Prediction,145.0,36810.93214702606,1023.0,35.98331588174591
OmegaFold,Structure Prediction,146.0,45747.28787899017,1179.0,38.80177088972873
OmegaFold,Structure Prediction,147.0,45001.67311048508,1138.0,39.54452821659497
OmegaFold,Structure Prediction,148.0,41508.45533490181,1112.0,37.327747603328966
OmegaFold,Structure Prediction,149.0,44639.97882771492,1182.0,37.766479549674216
OmegaFold,Structure Prediction,150.0,46516.42382788658,1137.0,40.91154250473754
OmegaFold,Structure Prediction,151.0,32477.385063171387,821.0,39.558325290099134
OmegaFold,Structure Prediction,152.0,35886.43163084984,909.0,39.479022696204446
OmegaFold,Structure Prediction,153.0,38513.630759477615,887.0,43.420102321846244
OmegaFold,Structure Prediction,154.0,34007.750886678696,764.0,44.51276294067892
OmegaFold,Structure Prediction,155.0,38553.552119493484,806.0,47.83319121525246
OmegaFold,Structure Prediction,156.0,37697.15286254883,781.0,48.267801360497856
OmegaFold,Structure Prediction,157.0,40674.03858137131,864.0,47.07643354325383
OmegaFold,Structure Prediction,158.0,36198.69845366478,788.0,45.937434585869006
OmegaFold,Structure Prediction,159.0,46049.571496248245,1004.0,45.86610706797634
OmegaFold,Structure Prediction,160.0,41043.430116176605,902.0,45.50269414210267
OmegaFold,Structure Prediction,161.0,43372.565577983856,881.0,49.23106195003843
OmegaFold,Structure Prediction,162.0,41636.382130384445,841.0,49.50818327037389
OmegaFold,Structure Prediction,163.0,38112.195907354355,769.0,49.56072289642959
OmegaFold,Structure Prediction,164.0,39577.24326515198,800.0,49.47155408143997
OmegaFold,Structure Prediction,165.0,48966.08866262436,925.0,52.93631206770201
OmegaFold,Structure Prediction,166.0,44240.04117870331,817.0,54.14937720771519
OmegaFold,Structure Prediction,167.0,40299.9158449173,778.0,51.79937769269576
OmegaFold,Structure Prediction,168.0,40645.93767237663,788.0,51.581139178142934
OmegaFold,Structure Prediction,169.0,37825.9066362381,727.0,52.030132924674135
OmegaFold,Structure Prediction,170.0,42320.47130393982,809.0,52.31207824961659
OmegaFold,Structure Prediction,171.0,49301.61089658737,924.0,53.35672174955343
OmegaFold,Structure Prediction,172.0,37552.269064188,715.0,52.520656033829376
