batch_id,batch_size,Timestamp,model,task,conditions,gpu,wall_time_batch,wall_time_task,output_file_name,entity_id
a0695b34-0dc1-4238-89ce-c67f37d78e8e,4,2024-01-18 07:44:56.777908,foldingdiff,backbone_pdb_generation,length = 704,T4 GPU,42.86097717285156 Seconds,10.71524429321289 Seconds (inferred),foldingdiff_len704_b00a32f9-3d0b-4a88-baab-c18b06cf7b42.pdb,b00a32f9-3d0b-4a88-baab-c18b06cf7b42
a0695b34-0dc1-4238-89ce-c67f37d78e8e,4,2024-01-18 07:44:56.777908,foldingdiff,backbone_pdb_generation,length = 704,T4 GPU,42.86097717285156 Seconds,10.71524429321289 Seconds (inferred),foldingdiff_len704_cafc6774-6f02-46c6-ac70-e02d6c460115.pdb,cafc6774-6f02-46c6-ac70-e02d6c460115
a0695b34-0dc1-4238-89ce-c67f37d78e8e,4,2024-01-18 07:44:56.777908,foldingdiff,backbone_pdb_generation,length = 704,T4 GPU,42.86097717285156 Seconds,10.71524429321289 Seconds (inferred),foldingdiff_len704_398a9658-16f0-4d6a-a90c-2558cd7c6be7.pdb,398a9658-16f0-4d6a-a90c-2558cd7c6be7
bb7ff5f4-85dc-4316-a137-0537b411f667,1,2024-01-18 07:45:39.877248,foldingdiff,backbone_pdb_generation,length = 705,T4 GPU,39.52415490150452 Seconds,39.52415490150452 Seconds (inferred),foldingdiff_len705_805816e5-001b-41e0-bd6c-cb091a1ac13c.pdb,805816e5-001b-41e0-bd6c-cb091a1ac13c
dd166b06-3ff0-4d54-860a-d8179fc690bf,2,2024-01-18 07:46:19.626282,foldingdiff,backbone_pdb_generation,length = 706,T4 GPU,41.86232233047485 Seconds,20.931161165237427 Seconds (inferred),foldingdiff_len706_1bacf409-3f2b-49ba-9659-8bec1d8810c3.pdb,1bacf409-3f2b-49ba-9659-8bec1d8810c3
dd166b06-3ff0-4d54-860a-d8179fc690bf,2,2024-01-18 07:46:19.626282,foldingdiff,backbone_pdb_generation,length = 706,T4 GPU,41.86232233047485 Seconds,20.931161165237427 Seconds (inferred),foldingdiff_len706_d01a7ad8-bab8-4f52-896c-75005f130383.pdb,d01a7ad8-bab8-4f52-896c-75005f130383
47b41ed2-79ac-4b6c-b371-85cefba752dc,4,2024-01-18 07:47:01.727100,foldingdiff,backbone_pdb_generation,length = 707,T4 GPU,43.053160190582275 Seconds,10.763290047645569 Seconds (inferred),foldingdiff_len707_fb13954d-f6d9-4c95-ae20-528f7689610b.pdb,fb13954d-f6d9-4c95-ae20-528f7689610b
47b41ed2-79ac-4b6c-b371-85cefba752dc,4,2024-01-18 07:47:01.727100,foldingdiff,backbone_pdb_generation,length = 707,T4 GPU,43.053160190582275 Seconds,10.763290047645569 Seconds (inferred),foldingdiff_len707_0f25b9d5-399a-4a88-837f-114d33cf06d1.pdb,0f25b9d5-399a-4a88-837f-114d33cf06d1
47b41ed2-79ac-4b6c-b371-85cefba752dc,4,2024-01-18 07:47:01.727100,foldingdiff,backbone_pdb_generation,length = 707,T4 GPU,43.053160190582275 Seconds,10.763290047645569 Seconds (inferred),foldingdiff_len707_f842f91b-a23a-445f-88a1-2d0b6de5c20a.pdb,f842f91b-a23a-445f-88a1-2d0b6de5c20a
47b41ed2-79ac-4b6c-b371-85cefba752dc,4,2024-01-18 07:47:01.727100,foldingdiff,backbone_pdb_generation,length = 707,T4 GPU,43.053160190582275 Seconds,10.763290047645569 Seconds (inferred),foldingdiff_len707_dce50a2a-937e-4b10-8839-5982bbc31dd2.pdb,dce50a2a-937e-4b10-8839-5982bbc31dd2
7202b423-2ef8-4958-bc38-828f96139e12,2,2024-01-18 07:47:45.049911,foldingdiff,backbone_pdb_generation,length = 708,T4 GPU,43.02675724029541 Seconds,21.513378620147705 Seconds (inferred),foldingdiff_len708_d2c6fe56-e788-48d9-969d-ccae2ccddffc.pdb,d2c6fe56-e788-48d9-969d-ccae2ccddffc
7202b423-2ef8-4958-bc38-828f96139e12,2,2024-01-18 07:47:45.049911,foldingdiff,backbone_pdb_generation,length = 708,T4 GPU,43.02675724029541 Seconds,21.513378620147705 Seconds (inferred),foldingdiff_len708_b48f7800-d020-40ab-8a20-9778f5dc9a45.pdb,b48f7800-d020-40ab-8a20-9778f5dc9a45
432e512c-b326-42e6-9266-50da47d1c666,4,2024-01-18 07:48:28.382806,foldingdiff,backbone_pdb_generation,length = 709,T4 GPU,42.26632761955261 Seconds,10.566581904888153 Seconds (inferred),foldingdiff_len709_c12b7010-afc5-4832-8a2a-bcb3122e56c3.pdb,c12b7010-afc5-4832-8a2a-bcb3122e56c3
432e512c-b326-42e6-9266-50da47d1c666,4,2024-01-18 07:48:28.382806,foldingdiff,backbone_pdb_generation,length = 709,T4 GPU,42.26632761955261 Seconds,10.566581904888153 Seconds (inferred),foldingdiff_len709_794c7a3b-016b-45d5-8052-a4beefaca546.pdb,794c7a3b-016b-45d5-8052-a4beefaca546
432e512c-b326-42e6-9266-50da47d1c666,4,2024-01-18 07:48:28.382806,foldingdiff,backbone_pdb_generation,length = 709,T4 GPU,42.26632761955261 Seconds,10.566581904888153 Seconds (inferred),foldingdiff_len709_edfb907d-23b5-4eef-934c-77ce004f1f4a.pdb,edfb907d-23b5-4eef-934c-77ce004f1f4a
432e512c-b326-42e6-9266-50da47d1c666,4,2024-01-18 07:48:28.382806,foldingdiff,backbone_pdb_generation,length = 709,T4 GPU,42.26632761955261 Seconds,10.566581904888153 Seconds (inferred),foldingdiff_len709_de9ba311-615d-4700-8e43-47a7bc227b36.pdb,de9ba311-615d-4700-8e43-47a7bc227b36
