TEVdesign,BF_Filename,GFP_Filename,Plate,Replicate,BF,GFP
TEV76,Plate4-replicate1-Snap-11740,Plate4-replicate1-Snap-11741,Plate4,replicate1,1976.0666,23.2980822
TEV22,Plate4-replicate1-Snap-11743,Plate4-replicate1-Snap-11744,Plate4,replicate1,2049.50506,10.7784036
TEV50,Plate4-replicate1-Snap-11746,Plate4-replicate1-Snap-11747,Plate4,replicate1,1697.10754,6.05209892
NC,Plate4-replicate1-Snap-11749,Plate4-replicate1-Snap-11750,Plate4,replicate1,1979.89174,3.72928176
TEV75,Plate4-replicate1-Snap-11752,Plate4-replicate1-Snap-11753,Plate4,replicate1,1873.34706,14.7811902
TEV110,Plate4-replicate1-Snap-11755,Plate4-replicate1-Snap-11756,Plate4,replicate1,2022.79723,8.9257924
TEV63,Plate4-replicate1-Snap-11758,Plate4-replicate1-Snap-11759,Plate4,replicate1,1920.48666,7.05263894
TEV47,Plate1-replicate2-Snap-273,Plate1-replicate2-Snap-274,Plate1,replicate2,4230.65678,332.9294421
TEV64,Plate1-replicate2-Snap-276,Plate1-replicate2-Snap-277,Plate1,replicate2,4086.75953,185.8132105
TEV87,Plate1-replicate2-Snap-279,Plate1-replicate2-Snap-280,Plate1,replicate2,4185.82758,376.9630299
TEV102,Plate1-replicate2-Snap-282,Plate1-replicate2-Snap-283,Plate1,replicate2,4028.90733,227.7041019
TEV100,Plate1-replicate2-Snap-285,Plate1-replicate2-Snap-286,Plate1,replicate2,3910.60226,155.0621259
TEV95,Plate1-replicate2-Snap-288,Plate1-replicate2-Snap-289,Plate1,replicate2,4158.47239,152.9741517
TEV41,Plate1-replicate2-Snap-291,Plate1-replicate2-Snap-292,Plate1,replicate2,3987.983,112.8237748
TEV99,Plate1-replicate2-Snap-294,Plate1-replicate2-Snap-295,Plate1,replicate2,4033.73092,210.1738615
PC,Plate1-replicate2-Snap-297,Plate1-replicate2-Snap-298,Plate1,replicate2,4028.17499,1252.065776
TEV33,Plate1-replicate2-Snap-300,Plate1-replicate2-Snap-301,Plate1,replicate2,3778.06185,107.2556828
TEV44,Plate1-replicate2-Snap-303,Plate1-replicate2-Snap-304,Plate1,replicate2,3911.58428,176.3645315
TEV32,Plate1-replicate2-Snap-306,Plate1-replicate2-Snap-307,Plate1,replicate2,4048.18402,187.9073989
TEV108,Plate1-replicate2-Snap-309,Plate1-replicate2-Snap-310,Plate1,replicate2,3902.64118,214.3760889
TEV55,Plate1-replicate2-Snap-312,Plate1-replicate2-Snap-313,Plate1,replicate2,4118.16909,323.9814371
TEV9,Plate1-replicate2-Snap-315,Plate1-replicate2-Snap-316,Plate1,replicate2,4074.38999,201.8876774
TEV74,Plate1-replicate2-Snap-318,Plate1-replicate2-Snap-319,Plate1,replicate2,4050.34381,164.2792981
TEV49,Plate1-replicate2-Snap-321,Plate1-replicate2-Snap-322,Plate1,replicate2,3789.53061,130.6130342
NC,Plate1-replicate2-Snap-324,Plate1-replicate2-Snap-325,Plate1,replicate2,4256.63739,358.1861276
TEV84,Plate1-replicate2-Snap-327,Plate1-replicate2-Snap-328,Plate1,replicate2,4059.77119,134.1546219
TEV82,Plate1-replicate2-Snap-330,Plate1-replicate2-Snap-331,Plate1,replicate2,4127.68411,150.1887621
TEV97,Plate1-replicate2-Snap-333,Plate1-replicate2-Snap-334,Plate1,replicate2,4159.08061,303.0509591
TEV54,Plate1-replicate2-Snap-336,Plate1-replicate2-Snap-337,Plate1,replicate2,4082.12674,201.7230276
TEV3,Plate1-replicate2-Snap-339,Plate1-replicate2-Snap-340,Plate1,replicate2,4219.06004,249.0286756
TEV96,Plate1-replicate2-Snap-342,Plate1-replicate2-Snap-343,Plate1,replicate2,4179.95725,184.6140603
TEV11,Plate2-replicate2-Snap-345,Plate2-replicate2-Snap-346,Plate2,replicate2,3904.71624,231.1319363
TEV15,Plate2-replicate2-Snap-348,Plate2-replicate2-Snap-349,Plate2,replicate2,3830.82386,416.8312435
TEV58,Plate2-replicate2-Snap-351,Plate2-replicate2-Snap-352,Plate2,replicate2,4041.85312,172.5295067
TEV7,Plate2-replicate2-Snap-354,Plate2-replicate2-Snap-355,Plate2,replicate2,4116.11555,158.6133988
